timestamp,speaker,words,tags
,MC," And now we get to begin. Thank you so much, Enriqueta, for talking to us for this project and for contributing your story to it. Um, I’ve told you a little bit about the Chicana por mi Raza project and, really, what we are very interested in is more than just interviews, right? Or focus on one thing or one event. We’re interested in life stories and the life story of the political development and how that life story reflects the political development of chicanas, at the intersection, really, of the Chicano Civil Rights Movement and the Women’s Movement, the Feminist Movement. So, um, given that that’s our interest, we really begin, kind of, whenever you think the beginning of that political development is, uh, one of the first questions we generally ask is for you to describe your family life and your earliest memories. Your early years. Um, and what we’re interested in is whether or not you, in your opinion, if you grew up in a traditional family in terms of gender roles, religion, social values, or, you know, if there were any relatives or friends that seemed to kind of embody early on for you a challenge to those values. You know, what was your life like, really, as a child? And, uh, what was your family life like? Where was the beginning of this story for you?",
,EC," Well, I was born in Tucson, Arizona and my father’s family is part Yaqui and they’re from Benson, Arizona, uh, miners. And, um, my father’s family has been in the United States for many generations. So, my father was an English speaking person, spoke some Spanish because his mother spoke Spanish, but grew up in the United States. His parents grew up in the United States and their parents, so it’s many generations down. Uh, he met my mother in Calexico. My mother is from Sinaloa, México and, uh, they met and got married and then moved back to Tucson. My father had already been married once before and had two daughters from the previous marriage and had been in a car accident and his first wife and his son were killed in the car accident. They were run over by a car coming down a mountain or something like that. Um, so I have two half sisters and then in my family with my mother it’s myself and a younger sister. So there’s four girls, uh, the two half sisters they basically were raised by my grandmother and my aunt, uh, lived with us on and off but not very much. So our family was a very traditional family. When I was a year and a half or so we moved back to Calexico and basically that’s where I grew up, um, stayed there the rest of my life, uh, my mother pretty much stayed home and cared for us and my father worked different jobs. ",
,,"Uh, I remember in the summers we would go up to Fresno to pick grapes and they knew a rancher there and our family and a couple other cousins— it was about three families— we would, together, travel up there probably in June, July and stay until about October, November. You know, uh, picking grapes and then doing la pasa. You know, turning over the grapes and I remember doing that until I was about fourteen years old. And then after that I said, “I don’t want to do that kind of work. I never want to do that kind of work again.” So I really worked hard at my studies and studied really hard because I knew that I wanted not to have to work that kind of work, so physical. I remember, uh, back then we did not have drinking water on the fields. This is before César Chávez, we did not have toilets, um, the planes would fly over us and spray the grapes while we were working. So conditions were very primitive. Um, and those are the conditions that César Chávez was fighting for to change. So, um, but when you’re a child you don’t think about that. ",
,,"I remember them as good times, happy times, because I was with my family. So, um, I tried very hard in school, did very well, graduated with very good grades. I was in the, definitely the top 10 percent if not the top five percent of my class. I had mostly A’s, took the most challenging classes that I could. Um, I always had, um, a love for math and science. Those were my subjects that I really enjoyed. Um, I entered science fairs and did math— entered math contests and so forth and did fairly well. Uh, in high school the majority of the kids were chicanos or Latinos. Um, but the town was basically run by Anglos. The small group of Anglos, they were the owners and the ranchers. In high school I never had a Mexican teacher. I had one Latino teacher which was in Español, for Spanish, and that was it. And that was my experience of— ",
,MC, He was Spanish? ,
,EC," He was Spanish, from Spain. Oh, yeah. And, um, but overall I was a pretty good student so I didn’t have a lot of problems with my teachers. I tried very hard, did very well, and did not really know much about college. Neither of my parents went to college. My father, I think, had like a six or seventh grade education and my mother had maybe a fifth grade education. So their educational background was very limited. They knew how to read and they knew how to write, and they knew, you know, the basics of what you needed to survive at that time. My mother never spoke English. Uh, she tried to learn how to speak English and my father would make fun of her and, so, she just gave up. It’s sad but (laughs) he did wrong. So, um, in a way it was good, in a way it was bad, because it was difficult for her to maneuver herself, you know, through society here. But, it forced us to learn how to speak Spanish, you know? We had to speak Spanish. And, so, you know, I grew up in a household where we spoke Spanish to my mother and English to my father, which was interesting, but we learned how to speak Spanish. Uh, I remember my first culture shock was when I started kindergarten, uh, like I said, I never really had any Mexican teachers. They changed my name from Enriqueta to Henrietta. And I hated it. I mean, I just hated it, you know? ",
,EC,"So, through all my schooling in Calexico, I was Henrietta until I went to college and I changed it back to Enriqueta and I said, “No. Enriqueta.” You know? So, um, those are the kinds of challenges. Um, they were very subtle kinds of racism that I experienced that, you know, I wasn’t that aware of because they were so embedded into the system. Of course, now it’s a little more covert, uh, but you know there were things that I noticed. Um, so high school was pretty general, you know, did my best, worked hard at it, did well, and, um, never really knew about college until my senior year. I think it was, yeah, the summer of my going into my senior year or thereabouts. And one of the parents of one of my friends, um, she was in the same grade I was, got us together at his home and talked to us about college. I think there was about 10 or 12 of us. And he showed us how to fill out the college applications and to take the SAT and, you know, what we needed to do. And my parents were not wealthy. My father worked, you know, in the fields in the summer and as a mechanic, ran a gas station, did odd jobs, worked on highways, you know, so it wasn’t anything permanent or anything that he necessarily got a pension from. It was, you know, later years he lived off his social security. ",
,"Um, and, anyway, so this parent got us together and, um, helped us sign up for the SAT, took the SAT, and, to my surprise, did very well. And then San Diego State accepted me and offered me a grant and, you know, I qualified for Cal Grant and Pell Grant and all those different grants. ",,
,MC, What year was this?,
,EC, That was my senior year. ,
,MC," So, do you remember what year— was this in the early—",
,EC, ’68. ’67 or ’68. ,
,MC," 1967, ’68 and what do you think— ",
,EC, Because I graduated in ’68.,
,MC," Wow, so that’s a really important time to come to San Diego, I would imagine. It’s right when things are really getting hot. ",
,EC," Well, in ’68 we were the first large class, or, you know, visible class to be accepted to EOP. Because EOP has just started that year. ",
,MC," Right, and EOP is the Equal Education— ",
,EC," Opportunity Program. Uh huh. But, the hardest thing was convincing my father to let me leave. Uh, he did not want me to leave. My sister had already left because she got pregnant when she was 15 and, uh, she left the family and moved in with her husband’s family. She got married and then he was shipped off to Vietnam. He was a paratrooper. And, so, she was gone before I was and she was younger than I was. So, you know, my parents didn’t want me to leave at all. And I remember struggling with that a lot. ",
,MC, So your mother also— ,
,EC, Oh yeah. ,
,MC, She was— ,
,EC, Yeah. They knew education was important but to them keeping their daughter in the home was more important than education. ,
,MC, Why do you think that is? ,
,EC," I think they did want to feel the loneliness of being by themselves and they wanted to keep me there as long as they could. My father offered to buy me a car and, you know, he bribed me all kinds of ways and he would tell me that, you know, women didn’t need an education because they were gonna get married and raise a family and, I mean he tried all kinds— (laughs). You know, all the traditional mexicano things that the mexicano men, you know, the trips that they put on you, you know? Trying to— “No, you don’t need to do that.” You know? (Laughs). ",
,MC," So, why do you think that you could resist— I mean, it must have been very difficult. ",
,EC," Oh, yes. ",
,MC," Because these are your parents, you love them. ",
,EC," Oh, yeah and I cried and I cried and I said, “Why, I hope I’m making the right decision.” And, uh, finally I said, “I have to.” ",
,MC, Why? ,
,EC," I don’t know, it was just something in me. I didn’t want to have to work in the fields. I had done that before and I knew that if I had better preparation that I was gonna be able to have a better quality of life, not only for myself, but for my parents, which later on proved to be right because I was apply to help supplement their income and support them to some extent. Uh, so finally I did. I left to San Diego State in 1968. ",
,MC," And were they mad? I mean, how long did it take to— ",
,EC," No, they brought me up. ",
,MC," Oh, okay. ",
,EC," And we saw— I lived in the dorms. And, uh, they weren’t mad. They knew that it had to happen, but, you know, it was with reluctance. And, of course, I was very homesick, you know, the first year or so. But my family away from my home— and I didn’t know anybody here— became MAYA which is now MEChA. ",
,MC," Oh, okay, so tell me, how did that happen?",
,EC," And, luckily I ended up in a dorm in a wing where we were all Latinas from the Imperial Valley. My roommate was Vivian Zermeño, which is Sombra’s— do you know Sombra? She’s getting her doctorate at UCLA now. Her mother. I was, uh, with Maria Sanchez, Felicitas, uh, Silvia— we used to call her Chiva— Silvia Romero. Uh, Francisca and Socorro Rascón, two sisters from Calexico themselves. So we were all either from Brawley, el Centro or Calexico. And, so, that made it kind of nice because when we needed to go home to see our parents, you know, we could hitch rides with each other, ‘cause we didn’t have cars. We were all basically from low-income families. We were all there because of grants. The Pell Grant and the Cal Grants, you know? So, anyway, um, that’s how I came to San Diego State. Um, I joined MAYA and saw Maya is a comfort place. Comfortable place, um, and at the same time I was really learning. I was learning about who I was as a chicana, where I came from, stuff that I had never been introduced to because we were in, you know, the American type of school system that didn’t teach you anything about your history. I mean, your history was Abraham Lincoln and George Washington, you know? And nothing about Sor Juana Inés de la Cruz o Díaz Ordaz or, you know, nothing about México you learn. So I ended up learning all of that stuff at San Diego State. ",
,MC, In class or just amongst the students? ,
,EC," Well, amongst us and then we started with Chicano Studies, or Mexican American Studies. ",
,MC," Oh, so how did that happen? Who started that? ",
,EC," Well, we knew that we needed to learn more. And professors like, uh, Gus Agade [Tape 1a 5","27] and René Nuñez and, um, oh, he’s an anthropologist, Carlos Velez,uh, you know, were around teaching in the Spanish Department and in the, um, Anthropology Department. They started coming together and supporting us and mentoring us, and so it was born from there. Because basically in ’68 is when there was a visible amount of Chicanos coming in. There was, I think, that year is when oh about 50 of us came in. 50 or 60. Under EOP. And so, um, you know, we pretty much stayed together and developed different programs that we needed to support our needs at the university. "
,MC, So the university was willing to listen to you and a group of faculty? ,
,EC," Yes, to a certain extent. As long as it wasn’t gonna cost a lot. You know, so, when we were doing the volunteer stuff, no big deal, right? You know, but once we wanted to develop into a department and— we had to have demonstrations. And at the same time, in ’68, um, the Vietnam War and all the demonstrations that were taking place, um, the Black Panther Movement is strong, uh, the Women’s Movement was beginning to pick up. So, there were al— and of course, the Chicano Movement. So there were a lot of things— there was a lot of energy and a lot of movements happening. And it seems like they were building up around that time. And César Chávez. We were taking bits from all those different movements, you know, a lot of us were involved with the César Chávez movement and participated in the demonstrations. Especially the ones, the boycotts against grapes and Coors. Those were the big ones back then. So, um, so we started, um, Mexican American Studies at that time. And, uh, and then I think some of the women started noticing that the men were taking over. You know, like they were in the other movements. So, some of us said, “Hey, we want a voice too.” And— ",
,MC," So did you— you mentioned earlier when we were just talking you went up until ’68, I guess it was in ’69— was it ’69 in Denver? ",
,EC, Mhmm. ,
,MC," Uh, I’m curios to know how you managed to go from San Diego to Denver without a car and who you went with and what that was like. Do you remember what that was like? ",
,EC, Yeah. ,
,MC," Yeah? So, how? ",
,EC, We went in a bus. We chartered a bus. And there was a big group of us. I’d say probably 50 or 60 of us. Yeah. It was a big group. ,
,MC, From San Diego? ,
,EC," From San Diego, yeah. We pulled in people from City College and some of the other universities that wanted to go with us and, you know, everybody paid a little bit of money and we got together and we went. And when we went we were actually MAYA. And once we went to Denver we became—we adopted the name of MEChA. And— ‘cause there were already MEChAs throughout different parts of the country and, so, we wanted to make a name that was gonna unify us, you know, instead of separate names, different places. And, so, uh, for a little while we were MAYA- MEChA and then we dropped off the “MAYA” and stayed with “MEChA.” But I think that was a big turning point for some of the chicanas from San Diego. Um, I think a lot of people were looking at chicanas at San Diego because we were pushing forward and, um, we were, um, asking for equality with the chicano guys. ",
,MC," Uh huh. As early as in the late 1960s, and so you think that the Denver— what happened at the Denver Youth Conference? ",
,EC," At the Denver Youth Conference it was very interesting because I think that was the turning point for many of us. We saw that the only people in the kitchen were the women. The, the women were the ones taking care of the kids in the childcare center. The women were the ones taking notes in all the workshops. And when you looked at the workshops, they were all being run by men. It was the chicano man that was the keynote speakers and speaking up there in the front and, you know, putting out the ideas, and the women were just sitting back, we’re just kinda, you know, taking it. And so, a group of us said, “No. We’re gonna boycott this conference until you change it.” And so we had a Chicana Caucus. We called it right there, got into a room and we said, “No. We are not gonna take care of the kids, we’re not gonna be cooking, until you give us equal power.” They said, “Men have children, too. They need to be out there.” And, so, until they granted us that equality and accepted, you know, what we were proposing, you know, we were not gonna participate. And, so, the first couple of days— I think the conference was four or five days. So the first couple of days were just checking things out, you know, “What the hell is goin’ on here?” You know? (Laughs). ",
,"And then se nos prendió el foquito, you know, and we said, “Wait a second, this is not right.” And so then that’s when, uh, you know, we put our demands the last few days and when we came back we were all fired up. ",,
,MC, Do you remember some of those demands?,
,EC," Oh, gosh, you know what? I was very good at taking notes. And everywhere I went I always took notes. I even wrote down the names of the people that were at different meetings or at different conferences. I wrote down what we ate, um, I even still have the little badge and my lunch ticket for that conference. But, unfortunately I don’t have all that in my head. But they are in the archives. ",
,MC, So your notes from the Denver Youth Conference are in the archives? ,
,EC," Yes, they are. ",
,MC, We need to go get that. ,
