timestamp,speaker,words,tags
,MC,"  Sonia, thank you so much for being with us and sharing your story with us. We are really honored and, um, delighted to have you be a part of the project. Um, you know, you saw the way this interview went; it’s kind of like as Mrs.— Doña— Maria Serrano said to us a few days ago, or, Doña Cuca actually said, “No más agárrale la cuerda y te vas con la historia.” So, that’s kind of how our, uh, if you can call it a methodology of oral history, that is what our methodology is. So, um, we can begin with your story anywhere you think is reasonable to begin, either in your ancient history of your family or your life growing up in, San Diego?",
,SL,  No. Imperial Valley. ,
,MC,"  Imperial Valley. So, why don’t, um, we’ll let you start where you are and then we’ll kind of go from there. ",
,SL,"  Okay, okay. I, um, I was born in Sonora, uh, México, uh, my family immigrated into the United States when I was a little girl and we, uh, settled in Imperial Valley. Um, if you’re familiar with the Imperial Valley it’s basically a farm, you know, it’s like the San Joaquin Valley. Um, the, the workers are the mexicanos and the, uh, landowners are the Anglo people. Um, my family, of course, came to the United States because of economics, like most immigrants that have come, you know, before us. And while growing up in Calexico I, I, I felt something was wrong but, you know, I didn’t have politics, I didn’t have analysis, I— we, the mexicanos were the majority, but, of course, there were no Mexican teachers, there were not, uh, Mexican elected officials, um, and that’s the way it was. Um, we ended up living in a really small town when we barely came to the United State; it’s Heber. Nobody knows where it is. Uh, I think it’s in the map now. Uh, very, very few families. Uh, and it’s almost like, uh, how shall I say, people live there— at least in my memory— now that I see some of the movies of the, uh, dustbowl, the way the people the people in Heber lived, uh, we lived in a house that did not have any, you know, it didn’t have a toilet. We had, you know, an outhouse in the back. ",
,SL,"  And growing up, we didn't think anything of it, uh, that that’s the way it was. Uh, I remember starting school and not knowing how to speak English and it, uh, it felt horrible. It felt horrible not to understand what was going on and being looked down upon by people, uh, mexicanos, Anglos, because some of the mexicanos, you know that had come before us; they already spoke English and we did not speak English. So, I remember this horrible feeling and Lind— uh, Rita was talking about feeling alienated and, and feeling isolated and I, I have those memories very vivid up to this date in my mind of how horrified I was going to school because we couldn't speak Spanish and we couldn’t, you know, be communicating with the teacher. Of course with the kids, but even with the kids you felt somewhat isolated, right, because they spoke some English and you didn’t. So, that was kind of awkward. ",
,SL,"  From Heber we moved up in the world and we went to Calexico and Calexico is like San Isidro is, uh, to Tijuana. Calexico is next to Mexicali. It’s a border town and you have 98% of the population is mexicano and, again, all the teachers are white. Everybody that ran the town was, you know, Anglo, and you knew there was a class difference but as a child or as growing up, you kinda was, you were okay with it because we were all mexicanos and the mexicanos that were doing better, they accepted us even though we were poor because we were brown like them, we spoke Spanish, you know, like them. But absolutely there was a class that you felt because, again, the Anglos, you know, they had the nice houses, they owned the businesses, they owned the farms, and you kind of grew up with it and just kind of accepted things as this is the way, you know, it was. ",
,SL,"  I ended up, um, in high school I was not a good student, um, I was uh, a chola, you could say. I was a chola. I ratted my hair, you know, I wore the outfit, um, but I was not really hardcore. Uh, I hung around with other young women who were, you know, they were hardcore because they would leave Calexico and follow the crops and, you know, go up north. So, you know, when they came back they had the hairdo, they had the dress and, of course, my family did not follow the crops so I ended up, you know, staying behind. I was fortunate enough that, um, I circulated with different crowds so that my tendencies to be a chola were overcome by, you know, uh, people that, “Hey, you know, let’s stay in school.” Uh, I guess because of the community that we were surrounded by, I think if I would have been in Fresno it would have been, you know, very different, but we were in Calexico and in Calexico you had the constant coming in of Mexican families to Calexico so the Mexican culture is very strong, the values are very strong, everybody knows everybody. So that’s almost like a, a culture check, so to speak. I happened to end up as a career counselor and what I— and I started, you know, trying to analyze why did I not end up, let’s say, going astray like some of the young people that I worked with and I go, “Well, maybe if we would have grown up here in Southeast San Diego, more separated from the border, it would have been, you know, a different story.” ",
,SL,"  But, anyway, by the time I ended up graduating from high school I decided that I wanted— I didn't want to be poor like my parents, and that’s what motivated me to decide to go to college. Uh, it was— being poor, you know, when people talk about it, a lot of times these days I feel people glamourize it, and, you know, there’s nothing glamorous about being poor. Uh, I remember, [starts to cry]…having to wear hand-me-down dresses that my mother would get from people and then I would run into people in school and they’d go, “Hey, you’re wearing my dress.” And that was, that was very hard. And, so, I think that living in poverty and knowing how much it hurts motivated me to say, “I don’t want to be poor. So, how do you figure out not being poor?” And, I didn’t have anybody tell me, “You need to go to school, you—” but I was fortunate enough that I had a friend of mine that her brother, her brother ended up going to Stanford, so that family stressed education. And, so, I think it was through that family that I got exposed to, you know, if you get an education and do something with your life, it’s a way out of poverty. And I think that was one of my main things that, uh, motivated me. ",
,SL,"  Um, growing up, um, my, my family was very traditional. Uh, I was brought up Catholic, uh, I was the oldest girl in the family, uh, uh, I had to take care of everything in the house. My mother started working because, of course, my dad ended up becoming a mechanic for a farm machinery, you know? Uh, Imperial Valley brings in farm machinery from all over the world and my dad was a very smart man, no education, and he figured out how to fix this machinery, so they would constantly be training him so he had like a permanent job, not a very good job but a permanent job, and then my mother started, you know, working in the local stores. And, so, when my mom started working, I don’t know, I must have been about ten years old, I had to start, you know, doing a lot of things because my mom wasn’t there. Um, so, I couldn't be a very good student because, you know, I had to come home, clean the house, make dinner, you know, I became the mom, you know, at a very young age.",
,SL,"  And, so, a lot of my friends began to do, like, better in school but I was okay with it, you know, it was like, “Okay.” I still didn’t figure out that I, I, I needed to get skills, I needed to go to college; I just kind of went along with the program. Um, in high school, during those times, you know, you’re talking about the sixties, uh, you know, the whole thing was to get a boyfriend and to get married. You know, that was— uh, a lot of my girlfriends were getting pregnant, uh, dropping out of school, uh, a lot of ‘em were getting married before they graduated from high school, and there was a group of us that I hung around with, I don’t know if because they were Holy Rollers or we were good girls or whatever, but, I happened to hang around with the girls that, uh, we didn’t have sex with the guys. Uh, it was like an unspoken value that we had even though young ladies around us were having sex and were getting pregnant. Anyway, we ended up surviving in terms of graduating from high school, uh, not getting pregnant, not having a baby, and, of course, really pushing the idea of getting married because that was, you know, that’s what you were supposed to do", as soon as you graduate you get married and you start a family. 
