timestamp,speaker,words,tags,
,I," Well, thank you, Rita Sanchez, for being with us and sharing your story with Chicana Por Mi Raza. Um, I know I sent you the questions beforehand, but I think I also told you that we kinda just go with the flow of the interview. So there’s real expectations but we do want to, in the end, understand something about your political development. Um, why you ended up doing the things that you did during those movement years, um, and get a sense of, you know, what— how Chicanas who embraced, uh, their, sort of, community struggles and feminist struggles at the same time—how they got to that place. Um, and so, one of the ways sometimes we use— one of the things we do to kind of probe this is to ask you about your family history and the influences that you had in your early life, your early development. And sometimes you can think about, for example, when was the first time that you became aware of gender contradictions and gender dimensions, maybe—.",,
,R, Mmhmm. ,,
,I," In your family, in your neighborhood, or when was the first time you realized that racism existed. These kind of first click moments, um sometimes initiate other thoughts and ideas. So begin where you’d like to begin. ",,
,R," Well, thank you. I really appreciate you and Linda being here. And I’m very moved by you and the project you are doing and that Sonia’s doing. And I’d love to talk about my family because, um, you think you’re unto yourself at some egoistic point in your life but really, I look back and it’s the base of my family upbringing that has really formed me. And, uh, I must say, I was raised in a Catholic family and my ancestors are from New Mexico. And so we’ve got years and years of history which I find to be amazing now because when I first entered into the Chicano/ Chicana Movement in the, uh, sixties and seventies, people were saying— especially one of my friends, Antonia Castañada, I had just met her— she was saying, “Interview your family.” And I tell my students that but it doesn’t make any sense to them like it didn’t make any sense to me at the time. I thought, “Well why would anybody want to interview my family? We’re just a family of poor people and struggling. Why would they do that?” But I found out that our families have this incredible history. They have— Chicano history is our family history. So I really credit my family for the amazing things they’ve overcome in their life. ",,
,R,"Both of my parents are from New Mexico and I’m here by “accident of birth” somebody said (laughs). And so, my father was born in Bernalillo, New Mexico and it's one of the oldest land grants that still exists. Its one of the first and maybe one of the first and oldest land grants in New Mexico called Bernalillo. So, when he used to talk about Bernalillo I thought he was talking about some foreign country he was from when I was a kid. Because he would talk about it and it didn’t make sense to me. ",,
,R,"I thought we were Californians and that was it (laughs). But I found out that we’re really connected to Chicano and Mexicano history and that my mother was also from New Mexico. My mother was from— my mother’s parents were from Las Cruces, in that area. And so my grandmother, my great grandmother , actually, was from Paso del Norte. It was called, uh, “Nuestra Señora Guadalupe del Paso del Norte.” And so people think of that as El Paso, but all that— people need to understand, all that was one land at one point. This was Mexican land. And, so, my great grandmother was born in the mission of Our Lady of Guadalupe and the mission is the oldest mission from the 1600s. So, talk about history. That’s our history. And so, we were part of it and that’s just amazing. ",,
,R,"My great grandmother’s name was Macedonía Cruz and she married, actually, one of the invading army soldiers. And his name was Charles Henry Coleman. And it turns out that he seemed to have a sentiment for the people. He became, um, a part of the Mestizo culture. IN other words, at one time in history, it was going to be a multicultural society until, of course, racism dominates and then the Mexican people are reduced to workers. Only workers. So that’s the sad part. But, uh, yeah, he was part of this mestizo culture. He had to learn Spanish, he spoke Spanish and, so, that’s part of that one side of my history. So, I just love that. It’s amazing. ",,
,R,"Then, on my father’s side, the history goes back, well, to the first landings of the Spanish. And people say, “Spanish? We’re not Spanish!” (Laughs) And it’s shocking but yes we are! Spanish and Indian. And you can see it right there in New Mexico history where you can see the, uh, intermarriage of our ancestors—the Spanish and the Indian. And, I think for a long time it was a shock to the people because they’ve tried so hard to preserve their culture. Talk about trying to preserve a culture. The Spanish people trying to hold on to their Spanish traditions. Oh. It was really really hard. And then if you married into the Indian culture it was kind of hush-hush. I work with people that are doing their genealogy and you discover that— they are discovering their history and they are realizing that it's really important. ",,
,R,"I guess one thing I’d like to say about that it that in writing about it, you—in discovering it— you want to write about it, you want to preserve it, and then people start to read about it and then they start to become educated. And I always say you don’t have a consciousness until you get it. So, we all had lack of consciousness and at some point in history we found out something and learned something new that we weren’t taught. And that’s the beginning of our, our new consciousness. So I guess being a Chicana/Chicano Studies teacher and writing, um, I decided to come from the Indian perspective. Because, even though we’re of mixed ancestry, even with this uh, Soldier, US soldier in our family— one of the greatest contradictions of our life is that we have the Spanish, the Indigenous, and the Mexicano in there. And how do you deal with that? It’s so painful and so difficult at times. ",,
,R,"And even members of my own family will say, “We’re Americans.” And so that adds to the contradictions. We are all of that. And so discovering that step by step I think is the beginning of my consciousness. But by the time I got to write and I got to share my thoughts on paper, I wanted to talk about the Indian Ancestry. So the first  paper I got was called, Embracing our Indian Ancestry. And it was this discovery of my Indian ancestry in my genealogy search. And in that discovery I was able to write a paper and present it to the genealogy journals, um, the New Mexico Journal of the Genealogical Society. And I didn’t realize it but that was fairly new to people. They hadn’t dealt with the painful recognition that we have this mestizaje in our culture. So, um, you can’t just throw things at people. You can’t just throw it in their face. That’s not what it’s about. But it's been a journey for all of us. We’ve all found something in our ancestral history that’s really important to what it means to be a Chicano/Chicana in history. ",,
